monster,golden_largest_min,golden_largest_max,silver_min,silver_max,golden_smallest_min,golden_smallest_max,default
Nargacuga,1970.7,2098.9,1906.6,1954.7,1377.9,1442,1602.2
Cephadrome,1876.7,2015.2,1815.2,1861.3,1369.1,1430.6,1538.3
Plesioth,3102.4,3241.3,2847.7,3079.2,2153.1,2245.7,2315.2
Green Plesioth,3102.4,3241.3,2847.7,3079.2,2153.1,2245.7,2315.2
Lavasioth,2578.9,2845.7,2445.5,2556.7,1800.8,1889.7,2223.2
Daimyo Hermitaur,1284.1,1325.9,1158.8,1273.7,887.4,918.7,1044
Plum D.Hermitaur,1284.1,1325.9,1158.8,1273.7,887.4,918.7,1044
Shogun Ceanataur,1035.6,1294.5,983.8,1018.3,742.2,811.2,863
Terra S.Ceanataur,1035.6,1260,983.8,1018.3,742.2,811.2,863
Bulldrome,741.5,820.7,639.6,724.5,503.7,554.7,566
Congalala,1239.8,1377.6,1141.4,1220.2,915.1,954.5,984
Emerald Congalala,1230,1377.6,1141.4,1220.2,934.8,954.5,984
Blangonga,1186.8,1229.8,1075,1178.2,825.6,851.4,860
Copper Blangonga,1186.8,1247,1075,1178.2,799.8,842.8,860
Rajang,1344,1555.2,1228.8,1334.4,912,979.2,960
Furious Rajang,1344,1440,,,960,979.2,960
Kirin,821.3,928.6,603.6,812.5,441.1,450.4,464.3
Kushala Daora,1892.4,2176.3,1750.5,1876.6,1419.3,,1577
Rusted Kushala Daora,1892.4,2065.9,1734.7,1797.8,1387.8,1435.1,1577
Chameleos,2459,2633.4,2092.8,2451.6,1656.8,1674.2,1744
Lunastra,2105.4,2262,2001,2088,1496.4,1583.4,1740
Teostra,2175,2436,1914,2157.6,1496.4,1531.2,1740
King Shakalaka,,,,,,,120
Vespoid Queen,,,,,,,691
Akantor,,,,,,,3049
Ukanlos,,,,,,,3188
Shen Gaoren,,,,,,,3388
Lao-Shan Lung,,,,,,,6960
Ashen Lao-Shan Lung,,,,,,,6960
Yama Tsukami,,,,,,,4137
Fatalis,,,,,,,4110.6
Crimson Fatalis,,,,,,,4110.6
White Fatalis,,,,,,,4119.2
Agnaktor,3421.64,,,,,2416.1,
Glacial Agnaktor,,3176.2,,,2198.91,,
Alatreon,,,,,,,3105
Arzuros,,854.55,,,501.34,,
Barioth,2580.91,,,,,1888.47,
Sand Barioth,,2277.13,,,1730.62,,
Barroth,1744.3,,,,,1217.1,
Jade Barroth,1744.31,,,,,1266.0,
Brachydios,1932.69,,,,,1339.18,
Ceadeus,,,,,,,5837.2
Goldbeard Ceadeus,,,,,,,5837.2
Deviljho,4097.8,,,,,1803.0,
Diablos,3030.0,,,,,1796.26,
Black Diablos,2930.3,,,,,1865.66,
Dire Miralis,,,,,,,6288
Duramboros,,2611.5,,,1317.84,,
Rust Duramboros,4454.84,,,,,2116.045,
Gigginox,1266.7,,,,,982.8,
Baleful Gigginox,1266.7,,,,,982.8,
Gobul,2844.8,,,,,1562.9,
Great Jaggi,1261.31,,,,,822.27,
Great Baggi,1457.97,,,,,839.12,
Great Wroggi,,1168.13,,,831.7,,
Jhen Mohran,,,,,,,11161.9
Hallowed Jhen Mohran,,,,,,,11161.9
Lagiacrus,3310.6,,,,,2330.7,
Ivory Lagiacrus,3310.6,,,,,2516.0,
Abyssal Lagiacrus,,,,,,,3969.3
Lagombi,,1581.9,,,214.16,,
Royal Ludroth,1931.5,,,,,1359.78,
Purple Ludroth,1939.5,,,,,1467.94,
Nargacuga,2355.13,,,,,1602.19,
Green Nargacuga,2002.88,,,,,1410.02,
Lucent Nargacuga,,,,,,,2503.8
Nibelsnarf,,4693.15,,,1808.1,,
Plesioth,3877.9,,,,,1991.11,
Green Plesioth,3877.9,,,,,2125.3,
Qurupeco,1085.4,,,,,772.8,
Crimson Qurupeco,1085.4,,,,,347.32,
Rathalos,2248.6,,,,,1140.6,
Azure Rathalos,2248.6,,,,,1140.6,
Silver Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Pink Rathian,2303.8,,,,,1151.9,
Gold Rathian,2303.8,,,,,1151.9,
Uragaan,3344.48,,,,,410.06,
Steel Uragaan,3344.48,,,,,410.06,
Volvidon,,892.0,,,613.08,,
Zinogre,2144.49,,,,,1217.4,
Stygian Zinogre,1887.0,,,,,1397.18,
Akantor,,,,,,,3049
Basarios,1754.6,,,,,1154.9,
Ruby Basarios,1783.13,,,,,1269.59,
Brachydios,1932.69,,,,,1339.18,
Cephadrome,2097.0,,,,,889.13,
Congalala,1670.76,,,,,491.4,
Emerald Congalala,1670.76,,,,,491.4,
Daimyo Hermitaur,1451.2,,,,,450.45,
Plum Daimyo Hermitaur,1346.8,,,,,247.5,
Deviljho,4097.8,,,,,1803.0,
Savage Deviljho,4097.8,,,,,1803.0,
Diablos,3030.0,,,,,1796.26,
Black Diablos,2930.3,,,,,1865.66,
Gendrome,1037.4,,,,,615,
Gore Magala,2201.12,,,,,1549.59,
Chaotic Gore Magala,2201.12,,,,,1549.59,
Gravios,3065.9,,,,,1049.35,
Black Gravios,3065.9,,,,,1946.3,
Great Jaggi,1261.31,,,,,822.27,
Gypceros,1348.2,,,,,811.0,
Iodrome,1641.06,,,,,619.7,
Kecha Wacha,1019.01,,,,,779.77,
Ash Kecha Wacha,1329.15,,,,,779.77,
Khezu,1225.5,,,,,436.6,
Red Khezu,1205.0,,,,,436.6,
Lagombi,,1581.9,,,214.16,,
Monoblos,2918.8,,,,,1683.5,
White Monoblos,2810.7,,,,,1849.2,
Najarala,5068.75,,,,,3568.4,
Tidal Najarala,5271.5,,,,,,
Nerscylla,1126.57,,,,,651.63,
Shrouded Nerscylla,1188.69,,,,,389.57,
Rajang,1631.2,,,,,729.62,
Furious Rajang,1631.2,,,,,729.62,
Rathalos,2248.6,,,,,1140.6,
Azure Rathalos,2248.6,,,,,1140.6,
Silver Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Pink Rathian,2303.8,,,,,1151.9,
Gold Rathian,2303.8,,,,,1151.9,
Seltas,769.88,,,,,541.99,
Desert Seltas,766.63,,,,,541.99,
Seltas Queen,1791.55,,,,,1271.42,
Desert Seltas Queen,2291.87,,,,,1760.16,
Seregios,2246.53,,,,,1520.73,
Tetsucabra,1582.25,,,,,632.9,
Berserk Tetsucabra,1582.25,,,,,632.9,
Tigrex,2914.8,,,,,1388.2,
Brute Tigrex,2169.38,,,,,1579.21,
Molten Tigrex,,,,,,,2313.9
Ukanlos,,,,,,,3188
Velocidrome,1736.4,,,,,590.7,
Yian Garuga,1744.5,,,,,887.3,
Yian Kut-Ku,1233.23,,,,,449.3,
Blue Yian Kut-Ku,1195.7,,,,,449.3,
Zamtrios,3039.2,,,,,1367.64,
Tigerstripe Zamtrios,1899.5,,,,,1458.82,
Zinogre,2144.49,,,,,1217.4,
Stygian Zinogre,1887.0,,,,,1397.18,
Chameleos,2811.32,,,,,1395.2,
Dah'ren Mohran,,,,,,,11446.5
Dalamadur,,,,,,,44039.7
Shah Dalamadur,,,,,,,44039.7
Fatalis,,,,,,,4110.6
Crimson Fatalis,,,,,,,4110.6
White Fatalis,,,,,,,4110.6
Gogmazios,,,,,,,4920.5
Kirin,989.64,,,,,371.4,
Oroshi Kirin,989.64,,,,,483.82,
Kushala Daora,2391.41,,,,,1261.6,
Rusted Kushala Daora,2391.41,,,,,1261.6,
Shagaru Magala,2187.06,,,,,1564.73,
Teostra,2610.0,,,,,1479.0,
Aknosom,1043.75,,,,,763.72,
Almudron,3368.12,,,,,2425.04,
Magma Almudron,3341.18,,,,,2478.94,
Amatsu,,,,,,,3440.72
Anjanath,2008.68,,,,,1448.88,
Astalos,2194.07,,,,,1544.63,
Arzuros,,854.55,,,501.34,,
Apex Arzuros,,751.91,,,681.88,,
Barioth,2580.91,,,,,1888.47,
Barroth,1744.3,,,,,1217.1,
Bazelgeuse,2410.48,,,,,1696.97,
Seething Bazelgeuse,,2410.48,,,1696.97,,
Basarios,1754.6,,,,,1154.9,
Bishaten,1054.26,,,,,832.3,
Blood Orange Bishaten,1054.26,,,,,832.31,
Chameleos,2811.32,,,,,1395.2,
Risen Chameleos,2811.32,,,,,2249.06,
Daimyo Hermitaur,1451.2,,,,,450.45,
Diablos,3030.0,,,,,1796.26,
Apex Diablos,2838.67,,,,,2157.39,
Espinas,2477.2,,,,,836.9,
Flaming Espinas,2812.0,,,,,1489.7,
Gaismagorm,,,,,,,4807.54
Garangolm,1789.39,,,,,1529.3,
Gore Magala,2201.12,,,,,1549.59,
Chaotic Gore Magala,2165.9,,,,,1584.8,
Goss Harag,906.04,,,,,643.25,
Great Baggi,1457.97,,,,,839.12,
Great Izuchi,1343.87,,,,,946.08,
Great Wroggi,,1168.13,,,831.7,,
Jyuratodus,1885.89,,,,,1327.66,
Khezu,1225.5,,,,,436.6,
Kulu-Ya-Ku,1126.55,,,,,802.1,
Kushala Daora,2391.41,,,,,1261.6,
Risen Kushala Daora,2388.52,,,,,1747.7,
Lagombi,,1581.9,,,214.16,,
Lunagaron,1739.5,,,,,1272.8,
Magnamalo,2276.11,,,,,1602.38,
Scorned Magnamalo,2343.47,,,,,1802.67,
Malzeno,2477.15,,,,,1843.47,
Primordial Malzeno,2435.51,,,,,1873.47,
Mizutsune,2356.4,,,,,565.54,
Apex Mizutsune,2506.31,,,,,2110.57,
Violet Mizutsune,2269.9,,,,,1738.0,
Nargacuga,2355.13,,,,,1602.19,
Lucent Nargacuga,,,,,,,2503.8
Pukei-Pukei,1344.99,,,,,970.16,
Rajang,1631.2,,,,,729.62,
Furious Rajang,1188.18,,,,,869.4,
Rakna-Kadaki,1071.16,,,,,771.23,
Pyre Rakna-Kadaki,1071.16,,,,,771.23,
Rathalos,2248.6,,,,,1140.6,
Apex Rathalos,2305.8,,,,,1818.4,
Silver Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Apex Rathian,2299.98,,,,,1936.82,
Gold Rathian,2303.8,,,,,1151.9,
Royal Ludroth,1931.5,,,,,1359.78,
Seregios,2246.53,,,,,1520.73,
Shagaru Magala,2187.06,,,,,1564.73,
Risen Shagaru Magala,2030.58,,,,,1561.98,
Shogun Ceanataur,1294.5,,,,,586.03,
Somnacanth,1899.97,,,,,1390.52,
Aurora Somnacanth,1900.35,,,,,1375.04,
Teostra,2610.0,,,,,1479.0,
Risen Teostra,2201.88,,,,,1736.44,
Tetranadon,1206.23,,,,,849.19,
Thunder Serpent Narwa,,,,,,,3875.05
Narwa the Allmother,,,,,,,3875.05
Tigrex,2914.8,,,,,1388.2,
Tobi-Kadachi,1573.63,,,,,1157.46,
Crimson Glow Valstrax,2551.22,,,,,1796.06,
Risen Crimson Glow Valstrax,2408.35,,,,,1836.88,
Velkhana,3245.06,,,,,2336.45,
Volvidon,,892.0,,,613.08,,
Wind Serpent Ibushi,,,,,,,3068.6
Apex Zinogre,,1895.01,,,1078.46,,
Alatreon,,,,,,,2969
Anjanath,2008.68,,,,,1448.88,
Fulgur Anjanath,2008.68,,,,,1481.81,
Banbaro,,2957.95,,,2164.36,,2765.57
Barioth,2580.91,,,,,1888.47,
Frostfang Barioth,,2580.91,,,1888.47,,2413.05
Barroth,1744.3,,,,,1217.1,
Bazelgeuse,2410.48,,,,,1696.97,
Seething Bazelgeuse,,2410.48,,,1696.97,,
Behemoth,,,,,,,3423.65
Beotodus,2044.26,,,,,1945.78,
Brachydios,1932.69,,,,,1339.18,
Raging Brachydios,,,,,,,2282.77
Deviljho,4097.8,,,,,1803.0,
Savage Deviljho,4097.8,,,,,1803.0,
Diablos,3030.0,,,,,1796.26,
Black Diablos,2930.3,,,,,1865.66,
Dodogama,2000.0,,,,,977.78,
Fatalis,,,,,,,4137.17
Glavenus,3174.36,,,,,2234.75,
Acidic Glavenus,,2846.93,,,2135.2,,2609.68
Great Girros,1316.44,,,,,937.3,
Great Jagras,1997.39,,,,,277.42,
Jyuratodus,1885.89,,,,,1327.66,
Kirin,989.64,,,,,371.4,
Kulve Taroth,,,,,,,4573.25
Kushala Daora,2391.41,,,,,1261.6,
Lavasioth,3476.6,,,,,1581.57,
Legiana,2124.69,,,,,1495.78,
Shrieking Legiana,2252.98,,,,,1529.78,
Leshen,,,,,,,549.7
Ancient Leshen,,,,,,,633.81
Lunastra,2575.2,,,,,1444.2,
Namielle,2560.31,,,,,1822.94,
Nargacuga,2355.13,,,,,1602.19,
Nergigante,2310.14,,,,,1626.35,
Ruiner Nergigante,2310.15,,,,,1663.31,
Odogaron,1735.94,,,,,541.61,
Ebony Odogaron,1722.05,,,,,1249.88,
Paolumu,1429.2,,,,,1006.16,
Nightshade Paolumu,1406.33,,,,,1006.16,
Pukei-Pukei,1344.99,,,,,970.16,
Coral Pukei-Pukei,,1322.94,,,992.21,,1212.7
Radobaan,2182.2,,,,,1587.05,
Rajang,1631.2,,,,,729.62,
Furious Rajang,1188.18,,,,,869.4,
Rathalos,2248.6,,,,,1140.6,
Azure Rathalos,2248.6,,,,,1140.6,
Silver Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Pink Rathian,2303.8,,,,,1151.9,
Gold Rathian,2303.8,,,,,1151.9,
Safi'jiiva,,,,,,,4799.78
Shara Ishvalda,,,,,,,2910.91
Teostra,2610.0,,,,,1479.0,
Tigrex,2914.8,,,,,1388.2,
Brute Tigrex,2169.38,,,,,1579.21,
Tobi-Kadachi,1573.63,,,,,1157.46,
Viper Tobi-Kadachi,,1560.62,,,1170.47,,1430.57
Tzitzi-Ya-Ku,1117.55,,,,,786.76,
Uragaan,3344.48,,,,,410.06,
Vaal Hazak,2598.3,,,,,1843.95,
Blackveil Vaal Hazak,,2577.34,,,1885.86,,2409.71
Velkhana,3245.06,,,,,2336.45,
Xeno'jiiva,,,,,,,4509.1
Yian Garuga,1744.5,,,,,887.3,
Scarred Yian Garuga,1744.5,,,,,887.3,
Zinogre,2144.49,,,,,1217.4,
Stygian Zinogre,1887.0,,,,,1397.18,
Zorah Magdaros,,,,,,,25764.59
Agnaktor,3421.64,,,,,2416.1,
Akantor,,,,,,,3049
Arzuros,,854.55,,,501.34,,
Redhelm Arzuros,904.57,,,,,781.22,
Astalos,2194.07,,,,,1544.63,
Boltreaver Astalos,2441.36,,,,,2108.45,
Ahtal-Ka,,,,,,,1504.11
Barioth,2580.91,,,,,1888.47,
Barroth,1744.3,,,,,1217.1,
Basarios,1754.6,,,,,1154.9,
Blangonga,1221.2,,,,,791.12,
Brachydios,1932.69,,,,,1339.18,
Raging Brachydios,,,,,,,2282.77
Bulldrome,1188.6,,,,,509.26,
Cephadrome,2097.0,,,,,889.13,
Congalala,1670.76,,,,,491.4,
Daimyo Hermitaur,1451.2,,,,,450.45,
Stonefist Hermitaur,1793.68,,,,,1449.89,
Deviljho,4097.8,,,,,1803.0,
Savage Deviljho,4097.8,,,,,1803.0,
Diablos,3030.0,,,,,1796.26,
Bloodbath Diablos,2770.75,,,,,2288.88,
Duramboros,,2611.5,,,1317.84,,
Gammoth,,2617.48,,,455.21,,
Elderfrost Gammoth,,2594.72,,,2276.07,,
Gendrome,1037.4,,,,,615,
Giadrome,1048.77,,,,,649.8,
Glavenus,3174.36,,,,,2234.75,
Hellblade Glavenus,3409.02,,,,,2727.22,
Gore Magala,2201.12,,,,,1549.59,
Chaotic Gore Magala,2165.9,,,,,1584.8,
Gravios,3065.9,,,,,1049.35,
Great Maccao,1275.7,,,,,701.63,
Gypceros,1348.2,,,,,811.0,
Iodrome,1641.06,,,,,619.7,
Kecha Wacha,1019.01,,,,,779.77,
Khezu,1225.5,,,,,436.6,
Lagiacrus,3310.6,,,,,2330.7,
Lagombi,,1581.9,,,214.16,,
Snowbaron Lagombi,799.36,,,,,607.52,
Lavasioth,3476.6,,,,,1581.57,
Malfestio,758.46,,,,,305.83,
Nightcloak Malfestio,901.61,,,,711.03,,733.02
Mizutsune,2356.4,,,,,565.54,
Soulseer Mizutsune,2792.77,,,,,,
Soulseer Mizutsune,5068.75,,,,,3568.4,
Nargacuga,2355.13,,,,,1602.19,
Silverwind Nargacuga,2127.91,,,,,1617.21,
Nerscylla,1126.57,,,,,651.63,
Nibelsnarf,,4693.15,,,1808.1,,
Plesioth,3877.9,,,,,1991.11,
Rajang,1631.2,,,,,729.62,
Furious Rajang,1188.18,,,,,869.4,
Rathalos,2248.6,,,,,1140.6,
Dreadking Rathalos,2263.56,,,,,1954.89,
Silver Rathalos,2248.6,,,,,1140.6,
Rathian,2303.8,,,,,1151.9,
Dreadqueen Rathian,2261.25,,,,,1973.45,
Gold Rathian,2303.8,,,,,1151.9,
Royal Ludroth,1931.5,,,,,1359.78,
Seltas,769.88,,,,,541.99,
Seltas Queen,1791.55,,,,,1271.42,
Seregios,2246.53,,,,,1520.73,
Shogun Ceanataur,1294.5,,,,,586.03,
Rustrazor Ceanataur,784.82,,,,,660.9,688.44
Tetsucabra,1582.25,,,,,632.9,
Drilltusk Tetsucabra,1649.07,,,,,1437.26,
Tigrex,2914.8,,,,,1388.2,
Grimclaw Tigrex,2333.21,,,,,2036.26,
Ukanlos,,,,,,,3188
Uragaan,3344.48,,,,,410.06,
Crystalbeard Uragaan,2920.21,,,,,2548.55,
Velocidrome,1736.4,,,,,590.7,
Volvidon,,892.0,,,613.08,,
Yian Garuga,1744.5,,,,,887.3,
Deadeye Yian Garuga,1482.91,,,,,1150.74,
Yian Kut-Ku,1233.23,,,,,449.3,
Zamtrios,3039.2,,,,,1367.64,
Zinogre,2144.49,,,,,1217.4,
Thunderlord Zinogre,1918.07,,,,,1488.43,
Thunderlord Zinogre,,,,,,,3105
Amatsu,,,,,,,2969
Chameleos,2811.32,,,,,1395.2,
Fatalis,,,,,,,4110.6
Crimson Fatalis,,,,,,,4110.6
White Fatalis,,,,,,,4110.6
Kirin,989.64,,,,,371.4,
Kushala Daora,2391.41,,,,,1261.6,
Lao-Shan Lung,,,,,,,6960
Nakarkos,,,,,,,3547.57
Shagaru Magala,2187.06,,,,,1564.73,
Teostra,2610.0,,,,,1479.0,
Valstrax,2698.15,,,,,2267,
