name,type,dragon_element,fire_element,ice_element,thunder_element,water_element,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Terra S.Ceanataur,Carapaceon,0,0,0,0,1,0.05,0.13,0.75,0.22,0.0
Shen Gaoren,Carapaceon,0,0,0,0,0,0.25,0.02,0.19,0.02,0.61
Bulldrome,Fanged Beast,0,0,0,0,0,0.06,0.06,0.38,0.04,0.0
Congalala,Fanged Beast,0,0,0,0,0,0.52,0.12,0.14,0.15,0.0
Emerald Congalala,Fanged Beast,0,0,0,0,0,0.03,0.14,0.12,0.63,0.0
Blangonga,Fanged Beast,0,0,1,0,0,0.26,0.02,0.19,0.0,0.0
Copper Blangonga,Fanged Beast,0,0,0,0,0,0.0,0.17,0.02,0.29,0.0
Rajang,Fanged Beast,0,0,0,1,0,0.0,0.02,0.0,0.29,0.0
Furious Rajang,Fanged Beast,0,0,0,1,0,0.0,0.02,0.0,0.29,0.0
Kirin,Elder Dragon,0,0,0,1,0,0.08,0.09,0.0,0.06,0.02
Kushala Daora,Elder Dragon,1,0,0,0,0,0.11,0.01,1.0,0.0,0.88
Rusted Kushala Daora,Elder Dragon,1,0,0,0,0,0.0,1.0,0.01,0.0,0.68
Chameleos,Elder Dragon,1,0,0,0,0,0.93,0.0,0.47,0.0,0.87
Lunastra,Elder Dragon,1,1,0,0,0,0.0,0.2,0.07,0.63,0.85
Teostra,Elder Dragon,1,1,0,0,0,0.0,0.59,0.07,0.22,0.85
Lao-Shan Lung,Elder Dragon,1,0,0,0,0,0.4,0.02,0.18,0.02,0.76
Ashen Lao-Shan Lung,Elder Dragon,1,0,0,0,0,0.4,0.02,0.18,0.02,0.76
Yama Tsukami,Elder Dragon,1,0,0,0,0,0.0,0.0,0.0,0.63,0.62
Fatalis,Elder Dragon,1,1,0,0,0,0.21,0.02,0.03,0.1,0.73
Crimson Fatalis,Elder Dragon,1,1,0,0,0,0.43,0.07,0.08,0.08,1.0
White Fatalis,Elder Dragon,1,1,0,0,0,0.43,0.07,0.08,0.08,1.0
Great Jaggi,Bird Wyvern,0,0,0,0,0,0.9,0.62,0.62,0.39,0.02
Arzuros,Fanged Beast,0,0,0,0,0,0.52,0.03,0.23,0.24,0.0
Qurupeco,Bird Wyvern,0,1,0,0,0,0.06,0.53,0.38,0.5,0.02
Great Wroggi,Bird Wyvern,0,0,0,0,0,0.0,0.1,0.01,0.25,0.0
Royal Ludroth,Leviathan,0,0,0,0,1,1.0,0.0,0.11,0.04,0.0
Barroth,Brute Wyvern,0,0,0,0,0,0.31,0.48,0.0,0.14,0.0
Lagombi,Fanged Beast,0,0,1,0,0,0.55,0.0,0.14,0.0,0.0
Nibelsnarf,Leviathan,0,0,0,0,0,0.0,0.27,0.49,0.42,0.06
Rathian,Flying Wyvern,0,1,0,0,0,0.01,0.15,0.44,0.09,0.82
Nargacuga,Flying Wyvern,0,0,0,0,0,0.42,0.03,0.72,0.04,0.22
Great Baggi,Bird Wyvern,0,0,0,0,0,0.5,0.01,0.08,0.0,0.0
Gigginox,Flying Wyvern,0,0,0,0,0,0.72,0.25,0.0,0.0,0.04
Barioth,Flying Wyvern,0,0,1,0,0,0.68,0.02,0.45,0.0,0.08
Volvidon,Fanged Beast,0,0,0,0,0,0.0,0.52,0.14,0.17,0.0
Duramboros,Brute Wyvern,0,0,0,0,0,0.68,0.05,0.27,0.21,0.18
Uragaan,Brute Wyvern,0,1,0,0,0,0.0,0.88,0.0,0.13,0.56
Plesioth,Piscine Wyvern,0,0,0,0,1,0.55,0.0,0.78,0.02,0.04
Rathalos,Flying Wyvern,0,1,0,0,0,0.01,0.15,0.45,0.1,0.8
Diablos,Flying Wyvern,0,0,0,0,0,0.01,0.22,0.22,0.56,0.22
Zinogre,Fanged Wyvern,0,0,0,1,0,0.22,0.3,0.0,0.3,0.11
Agnaktor,Leviathan,0,1,0,0,0,0.0,0.72,0.03,0.24,0.1
Purple Ludroth,Leviathan,0,0,0,0,0,0.57,0.0,0.21,0.03,0.0
Crimson Qurupeco,Bird Wyvern,0,0,0,1,0,0.36,0.14,0.0,0.48,0.04
Green Nargacuga,Flying Wyvern,0,0,0,0,0,0.42,0.03,0.72,0.04,0.22
Jade Barroth,Brute Wyvern,0,0,1,0,0,0.5,0.0,0.28,0.0,0.01
Baleful Gigginox,Flying Wyvern,0,0,0,1,0,0.04,0.78,0.0,0.0,0.18
Sand Barioth,Flying Wyvern,0,0,0,0,0,0.0,0.18,0.31,0.36,0.07
Steel Uragaan,Brute Wyvern,0,1,0,0,0,0.0,0.92,0.01,0.19,0.8
Glacial Agnaktor,Leviathan,0,0,1,0,1,0.9,0.0,0.18,0.0,0.47
Black Diablos,Flying Wyvern,0,0,0,0,0,0.03,0.33,0.33,0.52,0.33
Silver Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.36,0.7,0.07,0.0
Gold Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.36,0.7,0.07,0.0
Gobul,Leviathan,0,0,0,0,1,0.13,0.0,0.68,0.01,0.0
Jhen Mohran,Elder Dragon,0,0,0,0,0,0.0,0.23,0.23,0.44,0.66
Hallowed Jhen Mohran,Elder Dragon,0,0,0,0,0,0.64,0.0,0.29,0.0,0.29
Green Plesioth,Piscine Wyvern,0,0,0,0,1,0.55,0.0,0.78,0.02,0.04
Ceadeus,Elder Dragon,1,0,0,0,1,0.11,0.0,0.49,0.0,0.92
Goldbeard Ceadeus,Elder Dragon,0,0,0,0,1,0.11,0.0,0.59,0.0,0.92
Stygian Zinogre,Fanged Wyvern,1,0,0,0,0,0.09,0.34,0.84,0.09,0.0
Rust Duramboros,Brute Wyvern,0,0,0,0,0,0.07,0.72,0.13,0.45,0.19
Brachydios,Brute Wyvern,0,1,0,0,0,0.0,0.52,0.04,0.15,0.02
Lucent Nargacuga,Flying Wyvern,0,0,0,0,0,0.08,0.25,0.02,0.41,0.31
Lagiacrus,Leviathan,0,0,0,1,0,0.57,0.0,0.0,0.06,0.09
Ivory Lagiacrus,Leviathan,0,0,0,1,1,0.69,0.0,0.0,0.08,0.69
Abyssal Lagiacrus,Leviathan,0,0,0,1,0,0.29,0.0,0.0,0.05,0.62
Azure Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.21,0.21,0.24,0.78
Pink Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.09,0.33,0.06,0.68
Deviljho,Brute Wyvern,1,0,0,0,0,0.16,0.16,0.48,0.01,0.42
Alatreon (Ground),Elder Dragon,1,1,1,1,1,0.0,0.22,0.05,0.3,0.05
Alatreon (Flight),Elder Dragon,1,1,1,1,1,0.38,0.04,0.0,0.0,0.6
Savage Deviljho,Brute Wyvern,1,0,0,0,0,0.62,0.62,0.62,1.0,0.62
Dire Miralis,Elder Dragon,0,1,0,0,0,0.0,0.12,0.15,0.1,0.57
Seltas,Neopteron,0,0,0,0,0,0.16,0.04,0.31,0.05,0.0
Desert Seltas,Neopteron,0,0,0,0,0,0.06,0.05,0.11,0.26,0.0
Seltas Queen,Neopteron,0,0,0,0,1,0.28,0.0,0.05,0.24,0.0
Desert Seltas Queen,Neopteron,0,0,0,0,1,0.0,0.02,0.02,0.34,0.0
Nerscylla,Temnoceran,0,0,0,0,0,0.37,0.0,0.48,0.05,0.0
Shrouded Nerscylla,Temnoceran,0,0,0,0,0,0.12,0.0,0.03,0.44,0.0
Cephadrome,Piscine Wyvern,0,0,0,0,1,0.0,0.0,0.28,0.0,0.0
Great Jaggi,Bird Wyvern,0,0,0,0,0,0.17,0.07,0.08,0.09,0.0
Velocidrome,Bird Wyvern,0,0,0,0,0,0.12,0.11,0.12,0.23,0.01
Gendrome,Bird Wyvern,0,0,0,0,0,0.05,0.05,0.12,0.23,0.01
Iodrome,Bird Wyvern,0,0,0,0,0,0.06,0.14,0.15,0.02,0.01
Yian Kut-Ku,Bird Wyvern,0,1,0,0,0,0.04,0.17,0.29,0.49,0.0
Blue Yian Kut-Ku,Bird Wyvern,0,1,0,0,0,0.04,0.38,0.3,0.18,0.0
Gypceros,Bird Wyvern,0,0,0,0,0,0.37,0.04,0.0,0.2,0.06
Purple Gypceros,Bird Wyvern,0,0,0,0,0,0.34,0.04,0.0,0.22,0.07
Yian Garuga,Bird Wyvern,0,1,0,0,0,0.01,0.38,0.01,0.16,0.05
Daimyo Hermitaur,Carapaceon,0,0,0,0,1,0.83,0.05,0.72,0.25,0.0
Plum D.Hermitaur,Carapaceon,0,0,0,0,1,0.21,0.05,0.37,1.0,0.0
Kecha Wacha,Fanged Beast,0,0,0,0,1,0.32,0.0,0.1,0.06,0.0
Ash Kecha Wacha,Fanged Beast,0,1,0,0,0,0.0,0.26,0.07,0.08,0.0
Lagombi,Fanged Beast,0,0,1,0,0,0.28,0.0,0.09,0.0,0.0
Congalala,Fanged Beast,0,1,0,0,0,0.44,0.11,0.12,0.19,0.0
Emerald Congalala,Fanged Beast,0,1,0,0,0,0.04,0.21,0.14,0.54,0.0
Rajang,Fanged Beast,0,0,0,1,0,0.0,0.03,0.0,0.46,0.0
Apex Rajang,Fanged Beast,0,0,0,1,0,0.0,0.03,0.0,0.46,0.0
Furious Rajang,Fanged Beast,0,0,0,1,0,0.0,0.03,0.0,0.46,0.0
Tetsucabra,Amphibian,0,0,0,0,0,0.0,0.42,0.35,0.07,0.01
Berserk Tetsucabra,Amphibian,0,0,0,0,0,0.0,0.06,0.35,0.56,0.0
Zamtrios,Amphibian,0,0,1,0,1,0.58,0.0,0.61,0.0,0.04
Tigerstripe Zamtrios,Amphibian,0,0,0,0,1,0.01,0.0,0.19,0.48,0.02
Najarala,Snake Wyvern,0,0,0,0,0,0.02,0.18,0.06,0.62,0.01
Tidal Najarala,Snake Wyvern,0,0,0,0,1,0.48,0.01,0.26,0.0,0.01
Apex Tidal Najarala,Snake Wyvern,0,0,0,0,1,0.48,0.01,0.26,0.0,0.01
Brachydios,Brute Wyvern,0,1,0,0,0,0.0,0.54,0.08,0.8,0.02
Raging Brachydios,Brute Wyvern,0,0,0,0,0,0.0,0.54,0.08,0.8,0.02
Deviljho,Brute Wyvern,1,0,0,0,0,0.16,0.15,0.61,0.11,0.37
Apex Deviljho,Brute Wyvern,1,0,0,0,0,0.16,0.15,0.61,0.11,0.37
Savage Deviljho,Brute Wyvern,1,0,0,0,0,0.35,0.32,0.9,0.41,0.22
Khezu,Flying Wyvern,0,0,0,1,0,0.38,0.02,0.0,0.02,0.01
Red Khezu,Flying Wyvern,0,0,0,1,0,0.02,0.35,0.0,0.02,0.01
Basarios,Flying Wyvern,0,1,0,0,0,0.19,0.38,0.14,0.16,0.29
Ruby Basarios,Flying Wyvern,0,1,0,0,0,0.16,0.25,0.13,0.57,0.02
Gravios,Flying Wyvern,0,1,0,0,0,0.0,0.86,0.03,0.09,0.28
Apex Gravios,Flying Wyvern,0,1,0,0,0,0.0,0.86,0.03,0.09,0.28
Black Gravios,Flying Wyvern,0,1,0,0,0,0.0,0.73,0.03,0.0,0.02
Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.06,0.21,0.08,0.25
Pink Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.06,0.22,0.07,0.24
Gold Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.21,0.46,0.08,0.0
Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.06,0.26,0.08,0.22
Azure Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.16,0.33,0.29,0.5
Silver Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.45,0.29,0.14,0.0
Tigrex,Flying Wyvern,0,0,0,0,0,0.01,0.21,0.65,0.09,0.15
Apex Tigrex,Flying Wyvern,0,0,0,0,0,0.01,0.21,0.65,0.09,0.15
Brute Tigrex,Flying Wyvern,0,0,0,0,0,0.0,0.48,0.32,0.18,0.13
Molten Tigrex,Flying Wyvern,0,0,0,0,0,0.0,0.69,0.03,0.45,0.09
Diablos,Flying Wyvern,0,0,0,0,0,0.01,0.16,0.2,0.44,0.1
Apex Diablos,Flying Wyvern,0,0,0,0,0,0.01,0.16,0.2,0.44,0.1
Black Diablos,Flying Wyvern,0,0,0,0,0,0.01,0.16,0.2,0.44,0.1
Monoblos,Flying Wyvern,0,0,0,0,0,0.08,0.0,0.48,0.33,0.0
White Monoblos,Flying Wyvern,0,0,0,0,0,0.08,0.0,0.48,0.33,0.0
Seregios,Flying Wyvern,0,0,0,0,0,0.0,0.08,0.38,0.16,0.02
Apex Seregios,Flying Wyvern,0,0,0,0,0,0.0,0.08,0.38,0.16,0.02
Gore Magala,Demi Elder,0,0,0,0,0,1.0,0.0,0.37,0.07,0.3
Chaotic Gore Magala,???,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Akantor,Flying Wyvern,1,1,0,0,0,0.0,0.14,0.71,0.03,0.53
Ukanlos,Flying Wyvern,0,0,1,0,0,0.75,0.05,0.51,0.0,0.22
Zinogre,Fanged Wyvern,0,0,0,1,0,0.19,0.31,0.0,0.75,0.05
Apex Zinogre,Fanged Wyvern,0,0,0,1,0,0.19,0.31,0.0,0.75,0.05
Stygian Zinogre,Fanged Wyvern,1,0,0,0,0,0.09,0.36,0.82,0.18,0.0
Kirin,Elder Dragon,0,0,0,1,0,0.2,0.18,0.0,0.17,0.04
Oroshi Kirin,Elder Dragon,0,0,1,0,0,0.2,0.18,0.14,0.0,0.04
Shagaru Magala,Elder Dragon,0,0,0,0,0,0.36,0.0,0.14,0.04,0.28
Dah'ren Mohran,Elder Dragon,0,0,0,0,0,0.0,0.03,0.4,0.0,0.2
Kushala Daora,Elder Dragon,1,0,1,0,0,0.14,0.02,1.0,0.0,0.61
Rusted Kushala Daora,Elder Dragon,1,0,0,0,0,0.0,1.0,0.03,0.0,0.47
Teostra,Elder Dragon,1,1,0,0,0,0.0,0.36,0.12,0.49,0.26
Chameleos,Elder Dragon,1,0,0,0,0,0.97,0.0,0.34,0.0,0.36
Dalamadur,Elder Dragon,0,0,0,0,0,0.06,0.11,0.43,0.5,0.59
Shah Dalamadur,Elder Dragon,0,0,0,0,0,0.08,0.16,0.58,0.67,0.76
Gogmazios,Elder Dragon,0,1,0,0,0,0.59,0.0,0.07,0.01,1.0
Fatalis,Elder Dragon,1,1,0,0,0,0.15,0.02,0.02,0.08,0.36
Crimson Fatalis,Elder Dragon,1,1,0,0,0,0.03,0.12,0.03,0.34,0.24
White Fatalis,Elder Dragon,1,0,0,1,0,0.29,0.03,0.03,0.15,0.24
Aknosom,Bird Wyvern,0,1,0,0,0,0.0,0.51,0.52,0.15,0.0
Almudron,Leviathan,0,0,0,0,1,0.85,0.0,0.08,0.53,0.05
Amatsu,Elder Dragon,0,0,0,0,1,0.47,0.0,0.02,0.1,0.41
Anjanath,Brute Wyvern,0,1,0,0,0,0.0,0.53,0.11,0.35,0.03
Apex Arzuros,Fanged Beast,0,0,0,0,0,0.76,0.0,0.17,0.48,0.0
Apex Diablos,Flying Wyvern,0,0,0,0,0,0.0,0.3,0.14,0.89,0.28
Apex Mizutsune,Leviathan,0,0,0,0,1,0.08,0.0,0.6,0.13,0.41
Apex Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.05,0.17,0.06,0.53
Apex Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.03,0.14,0.04,0.44
Apex Zinogre,Fanged Wyvern,0,0,0,1,0,0.15,0.17,0.0,0.44,0.06
Arzuros,Fanged Beast,0,0,0,0,0,0.7,0.02,0.33,0.38,0.0
Astalos,Flying Wyvern,0,0,0,1,0,0.16,0.28,0.0,0.87,0.1
Aurora Somnacanth,Leviathan,0,0,1,0,0,0.54,0.0,0.11,0.0,0.0
Barioth,Flying Wyvern,0,0,1,0,0,0.68,0.02,0.29,0.0,0.12
Barroth,Brute Wyvern,0,0,0,0,0,0.63,0.0,0.0,0.19,0.03
Basarios,Flying Wyvern,0,1,0,0,0,0.54,0.69,0.32,0.35,1.0
Bazelgeuse,Flying Wyvern,0,1,0,0,0,0.0,0.03,0.28,0.19,0.15
Bishaten,Fanged Beast,0,0,0,0,0,0.16,0.0,0.04,0.4,0.0
Blood Orange Bishaten,Fanged Beast,0,1,0,0,0,0.0,0.31,0.13,0.04,0.0
Chameleos,Elder Dragon,1,0,0,0,0,0.71,0.0,0.14,0.0,0.27
Chaotic Gore Magala,???,0,0,0,0,0,0.83,0.0,0.23,0.06,0.47
Crimson Glow Valstrax,Elder Dragon,1,0,0,0,0,0.86,0.67,0.74,0.87,0.0
Daimyo Hermitaur,Carapaceon,0,0,0,0,1,0.98,0.03,0.61,0.18,0.0
Diablos,Flying Wyvern,0,0,0,0,0,0.0,0.47,0.12,0.93,0.49
Espinas,Flying Wyvern,0,1,0,0,0,0.0,0.09,0.01,0.33,0.1
Flaming Espinas,Flying Wyvern,0,1,0,0,0,0.0,0.26,0.13,0.01,0.1
Furious Rajang,Fanged Beast,0,0,0,1,0,0.0,0.03,0.0,0.58,0.0
Gaismagorm,Elder Dragon,0,0,0,0,0,0.06,0.0,0.28,0.0,0.67
Garangolm,Fanged Beast,0,1,0,0,1,0.19,0.0,0.24,0.07,0.0
Gold Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.39,0.78,0.3,0.0
Gore Magala,Demi Elder,0,0,0,0,0,0.61,0.0,0.23,0.07,0.18
Goss Harag,Fanged Beast,0,0,1,0,0,0.59,0.0,0.1,0.0,0.0
Great Baggi,Bird Wyvern,0,0,0,0,0,0.39,0.07,0.08,0.0,0.0
Great Izuchi,Bird Wyvern,0,0,0,0,0,0.15,0.19,0.4,0.13,0.02
Great Wroggi,Bird Wyvern,0,0,0,0,0,0.0,0.07,0.0,0.36,0.0
Jyuratodus,Piscine Wyvern,0,0,0,0,1,0.12,0.0,0.48,0.05,0.04
Khezu,Flying Wyvern,0,0,0,1,0,0.74,0.03,0.0,0.04,0.03
Kulu-Ya-Ku,Bird Wyvern,0,0,0,0,0,0.26,0.41,0.21,0.24,0.19
Kushala Daora,Elder Dragon,1,0,1,0,0,0.23,0.04,0.54,0.0,0.17
Lagombi,Fanged Beast,0,0,1,0,0,0.49,0.0,0.12,0.0,0.0
Lucent Nargacuga,Flying Wyvern,0,0,0,0,0,0.0,0.1,0.0,0.96,0.26
Lunagaron,Fanged Wyvern,0,0,1,0,0,0.44,0.0,0.16,0.0,0.06
Magma Almudron,Leviathan,0,1,0,0,0,0.0,1.0,0.14,0.77,0.08
Magnamalo,Fanged Wyvern,0,0,0,0,0,0.0,0.41,0.27,0.06,0.0
Malzeno,Elder Dragon,1,0,0,0,0,0.34,0.0,0.0,0.13,0.67
Mizutsune,Leviathan,0,0,0,0,1,0.08,0.0,0.6,0.13,0.41
Nargacuga,Flying Wyvern,0,0,0,0,0,0.41,0.01,1.0,0.09,0.1
Narwa the Allmother,Elder Dragon,0,0,0,1,0,0.0,0.01,0.0,0.09,0.27
Primordial Malzeno,Elder Dragon,1,0,0,0,0,0.23,0.0,0.0,0.08,0.43
Pukei-Pukei,Bird Wyvern,0,0,0,0,0,0.09,0.0,0.64,0.22,0.04
Pyre Rakna-Kadaki,Temnoceran,0,1,0,0,0,0.0,0.51,0.0,0.17,0.0
Rajang,Fanged Beast,0,0,0,1,0,0.0,0.03,0.0,0.58,0.0
Rakna-Kadaki,Temnoceran,0,1,0,0,0,0.0,0.06,0.0,0.49,0.0
Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.05,0.17,0.06,0.53
Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.03,0.14,0.04,0.44
Risen Chameleos,Elder Dragon,0,0,0,0,0,0.71,0.0,0.14,0.0,0.27
Risen Kushala Daora,Elder Dragon,1,0,1,0,0,0.23,0.04,0.54,0.0,0.17
Risen Shagaru Magala,Elder Dragon,0,0,0,0,0,0.49,0.0,0.19,0.06,0.55
Risen Teostra,Elder Dragon,0,1,0,0,0,0.0,0.38,0.04,0.29,0.04
Risen Crimson Glow Valstrax,Elder Dragon,1,0,0,0,0,0.86,0.67,0.74,0.87,0.0
Royal Ludroth,Leviathan,0,0,0,0,1,0.9,0.0,0.09,0.06,0.0
Scorned Magnamalo,Fanged Wyvern,0,0,0,0,0,0.0,0.36,0.24,0.05,0.0
Seething Bazelgeuse,Flying Wyvern,0,1,0,0,0,0.0,0.03,0.2,0.44,0.07
Seregios,Flying Wyvern,0,0,0,0,0,0.0,0.06,0.54,0.19,0.04
Shagaru Magala,Elder Dragon,0,0,0,0,0,0.49,0.0,0.19,0.06,0.55
Shogun Ceanataur,Carapaceon,0,0,0,0,1,0.47,0.05,0.6,0.21,0.0
Silver Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.68,0.51,0.22,0.0
Somnacanth,Leviathan,0,0,0,0,0,0.19,0.0,0.66,0.0,0.0
Teostra,Elder Dragon,1,1,0,0,0,0.0,0.38,0.04,0.29,0.04
Tetranadon,Amphibian,0,0,0,0,1,0.24,0.0,0.66,0.07,0.02
Thunder Serpent Narwa,Elder Dragon,0,0,0,1,0,0.0,0.01,0.0,0.11,0.28
Tigrex,Flying Wyvern,0,0,0,0,0,0.0,0.09,0.44,0.03,0.21
Tobi-Kadachi,Fanged Wyvern,0,0,0,1,0,0.22,0.49,0.0,0.15,0.03
Velkhana,Elder Dragon,0,0,1,0,0,0.9,0.08,0.09,0.0,0.17
Violet Mizutsune,Leviathan,0,1,0,0,0,0.0,0.14,0.36,0.71,0.03
Volvidon,Fanged Beast,0,0,0,0,0,0.0,0.36,0.12,0.24,0.0
Wind Serpent Ibushi,Elder Dragon,1,0,0,0,0,0.82,0.17,0.06,0.16,0.89
Zinogre,Fanged Wyvern,0,0,0,1,0,0.15,0.17,0.0,0.44,0.06
Anjanath,Brute Wyvern,0,1,0,0,0,0.0,0.43,0.08,0.19,0.02
Barroth (covered in mud),Brute Wyvern,0,0,0,0,1,0.0,0.93,0.0,0.04,0.01
Barroth (not covered in mud),Brute Wyvern,0,0,0,0,1,0.27,0.0,0.0,0.07,0.02
Diablos,Flying Wyvern,0,0,0,0,0,0.0,0.35,0.06,0.5,0.35
Great Girros,Fanged Wyvern,0,0,0,0,0,0.02,0.27,0.0,0.07,0.01
Great Jagras,Fanged Wyvern,0,0,0,0,0,0.41,0.0,0.13,0.05,0.02
Jyuratodus (covered in mud),Piscine Wyvern,0,0,0,0,1,0.0,0.3,0.0,0.02,0.02
Jyuratodus (not covered in mud),Piscine Wyvern,0,0,0,0,1,0.04,0.0,0.18,0.02,0.02
Kulu-Ya-Ku,Bird Wyvern,0,0,0,0,0,0.1,0.21,0.1,0.1,0.1
Lavasioth (when hardened),Piscine Wyvern,0,1,0,0,0,0.25,0.09,0.0,0.0,0.02
Lavasioth (not hardened),Piscine Wyvern,0,1,0,0,0,0.01,0.44,0.05,0.05,0.02
Legiana,Flying Wyvern,0,0,1,0,0,0.13,0.04,0.25,0.0,0.03
Nergigante,Elder Dragon,0,0,0,0,0,0.11,0.08,0.5,0.06,0.19
Odogaron,Fanged Wyvern,0,0,0,0,0,0.01,0.04,0.11,0.36,0.0
Paolumu,Flying Wyvern,0,0,0,0,0,0.27,0.0,0.12,0.05,0.05
Pukei-Pukei,Bird Wyvern,0,0,0,0,0,0.05,0.0,0.35,0.12,0.02
Radobaan,Brute Wyvern,0,0,0,0,0,0.08,0.08,0.08,0.1,0.19
Rathalos,Flying Wyvern,0,1,0,0,0,0.0,0.04,0.1,0.04,0.33
Rathian,Flying Wyvern,0,1,0,0,0,0.0,0.03,0.1,0.03,0.37
Tobi-Kadachi,Fanged Wyvern,0,0,0,1,0,0.08,0.32,0.0,0.08,0.02
Tzitzi-Ya-Ku,Bird Wyvern,0,0,0,0,0,0.12,0.12,0.21,0.21,0.12
Uragaan,Brute Wyvern,0,1,0,0,0,0.0,0.55,0.01,0.19,0.44
Zorah Magdaros,Elder Dragon,0,1,0,0,0,0.0,0.2,0.05,0.1,0.2
Deviljho,Brute Wyvern,1,1,1,0,1,0.11,0.11,0.41,0.07,0.41
Dodogama,Fanged Wyvern,0,0,0,0,0,0.0,0.16,0.51,0.16,0.05
Kushala Daora,Elder Dragon,1,0,1,0,0,0.09,0.02,0.28,0.0,0.09
