name,type,dragon_element,fire_element,ice_element,thunder_element,water_element,fire_weak,water_weak,thunder_weak,ice_weak,dragon_weak
Apex Gravios,Flying Wyvern,0,1,0,0,0,20,330,60,95,230
Black Gravios,Flying Wyvern,0,1,0,0,0,20,280,55,0,50
Rathian,Flying Wyvern,0,1,0,0,0,15,60,105,60,145
Pink Rathian,Flying Wyvern,0,1,0,0,0,5,55,105,55,140
Gold Rathian,Flying Wyvern,0,1,0,0,0,10,115,165,65,0
Rathalos,Flying Wyvern,0,1,0,0,0,15,55,110,55,130
Azure Rathalos,Flying Wyvern,0,1,0,0,0,15,135,185,160,290
Silver Rathalos,Flying Wyvern,0,1,0,0,0,10,175,135,85,0
Tigrex,Flying Wyvern,0,0,0,0,0,30,135,230,80,140
Apex Tigrex,Flying Wyvern,0,0,0,0,0,30,135,230,80,140
Brute Tigrex,Flying Wyvern,0,0,0,0,0,10,185,146,102,120
Molten Tigrex,Flying Wyvern,0,0,0,0,0,0,265,55,190,115
Diablos,Flying Wyvern,0,0,0,0,0,20,90,98,135,90
Apex Diablos,Flying Wyvern,0,0,0,0,0,20,90,98,135,90
Black Diablos,Flying Wyvern,0,0,0,0,0,20,90,98,135,90
Monoblos,Flying Wyvern,0,0,0,0,0,70,0,170,130,0
White Monoblos,Flying Wyvern,0,0,0,0,0,70,0,170,130,0
Seregios,Flying Wyvern,0,0,0,0,0,15,65,135,80,40
Apex Seregios,Flying Wyvern,0,0,0,0,0,15,65,135,80,40
Gore Magala,Demi Elder,0,0,0,0,0,355,0,215,90,250
Chaotic Gore Magala,???,0,0,0,0,0,0,0,0,0,0
Akantor,Flying Wyvern,1,1,0,0,0,10,130,280,50,310
Ukanlos,Flying Wyvern,0,0,1,0,0,265,70,220,0,185
Zinogre,Fanged Wyvern,0,0,0,1,0,125,165,0,230,85
Apex Zinogre,Fanged Wyvern,0,0,0,1,0,125,165,0,230,85
Stygian Zinogre,Fanged Wyvern,1,0,0,0,0,95,200,290,125,0
Kirin,Elder Dragon,0,0,0,1,0,70,70,0,60,40
Oroshi Kirin,Elder Dragon,0,0,1,0,0,70,70,60,0,40
Shagaru Magala,Elder Dragon,0,0,0,0,0,145,0,90,45,165
Dah'ren Mohran,Elder Dragon,0,0,0,0,0,0,41,142,0,127
Kushala Daora,Elder Dragon,1,0,1,0,0,135,50,355,0,355
Rusted Kushala Daora,Elder Dragon,1,0,0,0,0,20,385,60,0,325
Teostra,Elder Dragon,1,1,0,0,0,0,145,80,150,150
Chameleos,Elder Dragon,1,0,0,0,0,345,0,205,10,270
Dalamadur,Elder Dragon,0,0,0,0,0,85,120,230,230,345
Shah Dalamadur,Elder Dragon,0,0,0,0,0,115,165,300,300,440
Gogmazios,Elder Dragon,0,1,0,0,0,350,30,120,45,580
Fatalis,Elder Dragon,1,1,0,0,0,105,35,35,70,210
Crimson Fatalis,Elder Dragon,1,1,0,0,0,40,80,40,120,140
White Fatalis,Elder Dragon,1,0,0,1,0,120,40,40,80,140
